airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Jet Airways,2019-03-06,Banglore,New Delhi,05:45:00,16:10:00,625,1.0,No Info,16736
Jet Airways,2019-03-24,Kolkata,Banglore,19:45:00,22:35:00,1610,1.0,No Info,13759
Spicejet,2019-06-18,Kolkata,Banglore,17:10:00,19:40:00,150,0.0,No Info,3873
Jet Airways,2019-03-06,Banglore,New Delhi,14:05:00,09:30:00,1165,1.0,No Info,17261
Spicejet,2019-06-27,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No check-in baggage included,3841
Jet Airways,2019-03-12,Banglore,New Delhi,16:55:00,10:25:00,1050,1.0,No Info,13817
Multiple Carriers,2019-03-06,Delhi,Cochin,06:40:00,19:15:00,755,1.0,No Info,15077
Air India,2019-03-09,Delhi,Cochin,16:40:00,19:15:00,1595,2.0,No Info,11911
Air India,2019-03-15,Mumbai,Hyderabad,06:20:00,07:40:00,80,0.0,No Info,3100
Air India,2019-03-15,Banglore,New Delhi,05:50:00,22:10:00,980,2.0,No Info,9796
Multiple Carriers,2019-05-27,Delhi,Cochin,08:45:00,19:00:00,615,1.0,No Info,10529
Jet Airways,2019-05-12,Kolkata,Banglore,08:25:00,09:20:00,1495,1.0,In-flight meal not included,9663
Jet Airways,2019-03-18,Banglore,New Delhi,08:55:00,19:10:00,615,1.0,No Info,13555
Jet Airways,2019-03-01,Banglore,New Delhi,05:45:00,19:10:00,805,1.0,No Info,27992
Spicejet,2019-04-21,Banglore,Delhi,05:55:00,08:35:00,160,0.0,No check-in baggage included,4319
Air India,2019-03-12,Banglore,New Delhi,17:25:00,18:05:00,1480,3.0,No Info,13387
Air India,2019-04-03,Delhi,Cochin,20:30:00,23:00:00,1590,1.0,No Info,5022
Jet Airways,2019-03-12,Banglore,New Delhi,20:35:00,15:15:00,1120,1.0,In-flight meal not included,11087
Indigo,2019-05-01,Chennai,Kolkata,14:45:00,17:05:00,140,0.0,No Info,3597
Multiple Carriers,2019-03-21,Delhi,Cochin,07:10:00,21:20:00,850,2.0,In-flight meal not included,5935
Spicejet,2019-04-01,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No check-in baggage included,3841
Jet Airways,2019-06-12,Delhi,Cochin,18:25:00,12:35:00,1090,2.0,No Info,14237
Indigo,2019-05-15,Banglore,Delhi,07:10:00,10:05:00,175,0.0,No Info,4823
Jet Airways,2019-06-09,Delhi,Cochin,07:05:00,19:00:00,715,1.0,No Info,14714
Jet Airways,2019-06-12,Kolkata,Banglore,20:25:00,10:55:00,870,1.0,No Info,12692
Air India,2019-03-21,Delhi,Cochin,09:45:00,09:25:00,1420,2.0,No Info,8140
Multiple Carriers,2019-06-06,Delhi,Cochin,09:45:00,16:10:00,385,1.0,No Info,9646
Indigo,2019-05-24,Banglore,Delhi,18:55:00,21:50:00,175,0.0,No Info,4823
Jet Airways,2019-06-03,Delhi,Cochin,09:35:00,12:35:00,1620,2.0,No Info,13292
Goair,2019-04-21,Delhi,Cochin,10:35:00,19:35:00,540,1.0,No Info,7031
Indigo,2019-03-27,Mumbai,Hyderabad,19:05:00,20:30:00,85,0.0,No Info,2754
Air India,2019-03-06,Delhi,Cochin,06:10:00,08:15:00,1565,1.0,No Info,11038
Jet Airways,2019-05-27,Delhi,Cochin,09:35:00,12:35:00,1620,2.0,In-flight meal not included,12872
Goair,2019-03-09,Banglore,New Delhi,20:55:00,23:50:00,175,0.0,No Info,5706
Jet Airways,2019-03-21,Banglore,New Delhi,11:40:00,07:40:00,1200,1.0,In-flight meal not included,7832
Spicejet,2019-03-01,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No Info,5515
Air India,2019-03-24,Banglore,New Delhi,21:10:00,23:55:00,165,0.0,No Info,4441
Indigo,2019-03-06,Delhi,Cochin,07:30:00,15:30:00,480,1.0,No Info,14871
Multiple Carriers,2019-06-09,Delhi,Cochin,17:00:00,01:30:00,510,1.0,No Info,7408
Indigo,2019-04-18,Banglore,Delhi,16:55:00,19:55:00,180,0.0,No Info,4990
Jet Airways,2019-05-09,Delhi,Cochin,08:00:00,04:25:00,1225,1.0,In-flight meal not included,12373
Jet Airways,2019-03-06,Delhi,Cochin,13:00:00,18:50:00,350,1.0,In-flight meal not included,15103
Air India,2019-06-09,Kolkata,Banglore,14:35:00,14:35:00,1440,1.0,No Info,6528
Multiple Carriers,2019-06-06,Delhi,Cochin,06:40:00,19:15:00,755,1.0,No Info,7354
Jet Airways,2019-03-12,Banglore,New Delhi,09:45:00,14:25:00,280,1.0,No Info,12295
Jet Airways,2019-03-15,Banglore,New Delhi,22:50:00,07:40:00,530,1.0,In-flight meal not included,9134
Jet Airways,2019-05-21,Kolkata,Banglore,08:25:00,19:50:00,685,1.0,In-flight meal not included,10844
Air India,2019-06-24,Banglore,Delhi,06:10:00,08:55:00,165,0.0,No Info,6961
Jet Airways,2019-06-15,Delhi,Cochin,18:20:00,12:35:00,1095,2.0,No Info,14300
Jet Airways,2019-06-12,Delhi,Cochin,18:20:00,19:00:00,1480,2.0,No Info,14300
Multiple Carriers,2019-06-03,Delhi,Cochin,08:00:00,19:00:00,660,1.0,No Info,12402
Spicejet,2019-03-27,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No Info,3384
Multiple Carriers,2019-06-27,Delhi,Cochin,19:00:00,01:30:00,390,1.0,No Info,6795
Indigo,2019-06-12,Delhi,Cochin,08:30:00,21:00:00,750,1.0,No Info,6093
Jet Airways,2019-05-06,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,In-flight meal not included,2228
Jet Airways,2019-06-06,Delhi,Cochin,11:45:00,04:25:00,1000,2.0,In-flight meal not included,11992
Vistara,2019-05-09,Kolkata,Banglore,07:10:00,09:05:00,1555,1.0,No Info,9187
Multiple Carriers,2019-03-21,Delhi,Cochin,09:00:00,15:30:00,390,1.0,No Info,8307
Indigo,2019-06-15,Delhi,Cochin,15:10:00,20:00:00,290,1.0,No Info,6147
Jet Airways,2019-06-03,Delhi,Cochin,15:00:00,19:00:00,1680,1.0,No Info,14714
Jet Airways,2019-03-15,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,No Info,8040
Indigo,2019-05-24,Kolkata,Banglore,09:20:00,14:15:00,295,1.0,No Info,9376
Indigo,2019-06-09,Banglore,Delhi,23:30:00,02:20:00,170,0.0,No Info,4591
Spicejet,2019-06-21,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No Info,3597
Air Asia,2019-06-18,Kolkata,Banglore,22:50:00,01:20:00,150,0.0,No Info,3807
Air India,2019-05-12,Kolkata,Banglore,12:00:00,11:10:00,1390,2.0,No Info,10676
Air India,2019-05-27,Delhi,Cochin,13:00:00,19:15:00,375,1.0,No Info,9719
Multiple Carriers,2019-05-21,Delhi,Cochin,11:25:00,19:00:00,455,1.0,No Info,9103
Spicejet,2019-05-15,Kolkata,Banglore,17:10:00,19:40:00,150,0.0,No check-in baggage included,3841
Indigo,2019-05-12,Banglore,Delhi,21:15:00,00:15:00,180,0.0,No Info,3943
Jet Airways,2019-04-01,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,In-flight meal not included,3205
Multiple Carriers,2019-05-15,Delhi,Cochin,13:00:00,21:00:00,480,1.0,No Info,8073
Indigo,2019-03-03,Delhi,Cochin,04:45:00,15:30:00,645,1.0,No Info,14871
Multiple Carriers,2019-06-09,Delhi,Cochin,13:00:00,21:00:00,480,1.0,No Info,13587
Jet Airways,2019-06-06,Delhi,Cochin,21:25:00,19:00:00,1295,2.0,No Info,13292
Jet Airways,2019-03-09,Delhi,Cochin,19:45:00,18:50:00,1385,1.0,In-flight meal not included,14053
Jet Airways,2019-05-09,Kolkata,Banglore,20:00:00,04:40:00,520,1.0,No Info,13941
Indigo,2019-03-06,Delhi,Cochin,14:20:00,22:20:00,480,1.0,No Info,7451
Air India,2019-06-06,Delhi,Cochin,21:00:00,07:40:00,640,1.0,No Info,8372
Spicejet,2019-06-09,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No Info,3597
Indigo,2019-06-12,Kolkata,Banglore,19:20:00,23:45:00,265,1.0,No Info,3574
Indigo,2019-06-06,Delhi,Cochin,16:00:00,21:00:00,300,1.0,No Info,6069
Spicejet,2019-05-09,Mumbai,Hyderabad,05:45:00,07:15:00,90,0.0,No Info,2017
Goair,2019-03-24,Banglore,New Delhi,11:40:00,14:35:00,175,0.0,No Info,4340
Multiple Carriers,2019-05-06,Delhi,Cochin,10:20:00,19:00:00,520,1.0,No Info,9794
Air India,2019-05-21,Delhi,Cochin,09:00:00,19:15:00,615,1.0,No Info,8372
Jet Airways,2019-03-27,Delhi,Cochin,08:00:00,18:50:00,650,1.0,In-flight meal not included,6068
Jet Airways,2019-05-21,Kolkata,Banglore,08:25:00,09:20:00,1495,1.0,No Info,14388
Multiple Carriers,2019-06-06,Delhi,Cochin,08:45:00,21:00:00,735,1.0,No Info,7740
Indigo,2019-06-12,Delhi,Cochin,14:20:00,22:30:00,490,1.0,No Info,6938
Indigo,2019-03-06,Delhi,Cochin,05:05:00,10:05:00,300,1.0,No Info,7894
Indigo,2019-05-15,Banglore,Delhi,10:10:00,13:00:00,170,0.0,No Info,3943
Spicejet,2019-05-09,Kolkata,Banglore,17:10:00,19:40:00,150,0.0,No check-in baggage included,3841
Multiple Carriers,2019-06-03,Delhi,Cochin,18:15:00,01:30:00,435,1.0,No Info,13377
Indigo,2019-06-06,Delhi,Cochin,05:35:00,08:50:00,195,0.0,No Info,5601
Jet Airways,2019-06-06,Kolkata,Banglore,17:00:00,18:00:00,1500,1.0,In-flight meal not included,10539
Air India,2019-06-09,Banglore,Delhi,06:10:00,08:55:00,165,0.0,No Info,6961
Indigo,2019-05-21,Delhi,Cochin,09:15:00,21:00:00,705,1.0,No Info,7318
Jet Airways,2019-05-06,Kolkata,Banglore,08:25:00,16:20:00,475,1.0,In-flight meal not included,10844
Indigo,2019-06-15,Mumbai,Hyderabad,12:00:00,13:30:00,90,0.0,No Info,2754
Jet Airways,2019-03-24,Kolkata,Banglore,08:25:00,22:35:00,850,1.0,No Info,13759
Air India,2019-03-24,Kolkata,Banglore,09:10:00,21:50:00,760,2.0,No Info,15187
Indigo,2019-03-27,Delhi,Cochin,06:40:00,15:30:00,530,1.0,No Info,8574
Indigo,2019-03-03,Delhi,Cochin,06:40:00,12:00:00,320,1.0,No Info,9304
Jet Airways,2019-06-24,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,In-flight meal not included,3210
Indigo,2019-06-12,Chennai,Kolkata,22:05:00,00:25:00,140,0.0,No Info,5277
Jet Airways,2019-06-12,Banglore,Delhi,07:10:00,10:10:00,180,0.0,In-flight meal not included,5769
Jet Airways,2019-05-21,Delhi,Cochin,09:40:00,12:35:00,1615,2.0,In-flight meal not included,13029
Jet Airways,2019-05-24,Mumbai,Hyderabad,02:55:00,04:20:00,85,0.0,In-flight meal not included,4995
Vistara,2019-05-27,Banglore,Delhi,09:45:00,12:35:00,170,0.0,No Info,4668
Goair,2019-05-18,Delhi,Cochin,07:25:00,13:35:00,370,1.0,No Info,6296
Jet Airways,2019-06-24,Delhi,Cochin,15:00:00,19:00:00,1680,1.0,In-flight meal not included,10262
Jet Airways,2019-03-18,Banglore,New Delhi,21:25:00,09:30:00,725,1.0,No Info,13555
Vistara,2019-03-09,Delhi,Cochin,14:55:00,17:50:00,175,0.0,No Info,6741
Jet Airways,2019-03-12,Banglore,New Delhi,18:55:00,16:10:00,1275,1.0,In-flight meal not included,11087
Air India,2019-05-27,Delhi,Cochin,18:30:00,19:15:00,1485,2.0,No Info,12488
Multiple Carriers,2019-06-27,Delhi,Cochin,19:00:00,01:30:00,390,1.0,No Info,7198
Jet Airways,2019-03-24,Kolkata,Banglore,13:55:00,23:25:00,570,1.0,No Info,14231
Air Asia,2019-05-27,Delhi,Cochin,16:45:00,06:35:00,830,1.0,No Info,6752
Air India,2019-05-06,Delhi,Cochin,22:00:00,19:15:00,1275,2.0,No Info,11701
Jet Airways,2019-04-27,Banglore,Delhi,18:55:00,22:00:00,185,0.0,In-flight meal not included,4544
Spicejet,2019-03-06,Delhi,Cochin,08:45:00,13:15:00,270,1.0,No Info,8488
Vistara,2019-05-24,Banglore,Delhi,19:30:00,22:15:00,165,0.0,No Info,5823
Vistara,2019-03-06,Mumbai,Hyderabad,08:45:00,22:55:00,850,1.0,No Info,12395
Jet Airways,2019-03-15,Banglore,New Delhi,08:00:00,08:15:00,1455,1.0,In-flight meal not included,10405
Multiple Carriers,2019-06-03,Delhi,Cochin,12:50:00,21:00:00,490,1.0,No Info,7740
Spicejet,2019-05-03,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No Info,3873
Jet Airways,2019-06-09,Delhi,Cochin,21:50:00,12:35:00,885,1.0,In-flight meal not included,10262
Jet Airways,2019-06-01,Delhi,Cochin,09:40:00,12:35:00,1615,2.0,In-flight meal not included,10368
Indigo,2019-06-12,Kolkata,Banglore,09:35:00,12:20:00,165,0.0,No Info,4804
Jet Airways,2019-06-15,Delhi,Cochin,17:30:00,19:00:00,1530,1.0,In-flight meal not included,10262
Multiple Carriers,2019-06-12,Delhi,Cochin,11:35:00,21:00:00,565,3.0,No Info,15629
Air India,2019-06-09,Kolkata,Banglore,10:00:00,20:25:00,625,1.0,No Info,10413
Spicejet,2019-06-06,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No Info,3597
Air India,2019-05-09,Kolkata,Banglore,16:45:00,08:55:00,970,2.0,No Info,13227
Jet Airways,2019-05-15,Kolkata,Banglore,20:25:00,18:00:00,1295,1.0,No Info,14151
Jet Airways,2019-04-18,Delhi,Cochin,11:00:00,14:15:00,195,0.0,In-flight meal not included,5443
Air India,2019-06-06,Mumbai,Hyderabad,06:20:00,07:40:00,80,0.0,No Info,3100
Jet Airways,2019-05-01,Kolkata,Banglore,20:25:00,23:35:00,1630,1.0,In-flight meal not included,9314
Indigo,2019-03-18,Mumbai,Hyderabad,19:05:00,20:30:00,85,0.0,No Info,2754
Air India,2019-03-18,Mumbai,Hyderabad,06:20:00,07:40:00,80,0.0,No Info,3100
Air India,2019-04-24,Delhi,Cochin,18:05:00,21:10:00,185,0.0,No Info,5201
Jet Airways,2019-03-27,Delhi,Cochin,19:10:00,19:45:00,1475,2.0,In-flight meal not included,8882
Indigo,2019-05-21,Delhi,Cochin,17:05:00,22:15:00,310,1.0,No Info,6147
Jet Airways,2019-04-03,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,In-flight meal not included,2071
Air Asia,2019-06-27,Kolkata,Banglore,22:50:00,01:20:00,150,0.0,No Info,3807
Air India,2019-05-09,Kolkata,Banglore,12:00:00,07:55:00,1195,2.0,No Info,9416
Indigo,2019-06-15,Kolkata,Banglore,21:25:00,00:05:00,160,0.0,No Info,4804
Jet Airways,2019-06-24,Banglore,Delhi,15:15:00,18:10:00,175,0.0,No Info,8016
Multiple Carriers,2019-03-06,Delhi,Cochin,02:15:00,13:20:00,665,1.0,No Info,17057
Indigo,2019-06-06,Chennai,Kolkata,19:35:00,21:55:00,140,0.0,No Info,3597
Multiple Carriers,2019-05-21,Delhi,Cochin,09:00:00,21:00:00,720,1.0,No Info,7888
Jet Airways,2019-05-06,Kolkata,Banglore,08:25:00,18:15:00,590,1.0,No Info,14781
Vistara,2019-03-03,Banglore,New Delhi,21:10:00,00:05:00,175,0.0,No Info,7608
Indigo,2019-04-06,Kolkata,Banglore,14:25:00,16:55:00,150,0.0,No Info,4174
Jet Airways,2019-05-24,Delhi,Cochin,23:05:00,04:25:00,1760,2.0,No Info,16704
Vistara,2019-03-06,Mumbai,Hyderabad,21:55:00,16:45:00,1130,1.0,No Info,12395
Indigo,2019-06-24,Delhi,Cochin,08:30:00,21:00:00,750,1.0,No Info,6093
Air India,2019-03-18,Banglore,New Delhi,17:25:00,23:25:00,1800,2.0,No Info,11518
Air India,2019-05-24,Kolkata,Banglore,10:00:00,01:20:00,920,2.0,No Info,13873
Air India,2019-06-09,Chennai,Kolkata,11:40:00,13:55:00,135,0.0,No Info,4667
Spicejet,2019-06-24,Mumbai,Hyderabad,22:45:00,00:15:00,90,0.0,No check-in baggage included,1965
Jet Airways,2019-05-09,Banglore,Delhi,06:00:00,08:45:00,165,0.0,In-flight meal not included,4030
Indigo,2019-03-15,Mumbai,Hyderabad,12:00:00,13:25:00,85,0.0,No Info,3175
Multiple Carriers,2019-05-21,Delhi,Cochin,18:00:00,01:30:00,450,1.0,No Info,7888
Multiple Carriers,2019-06-27,Delhi,Cochin,11:40:00,21:00:00,560,1.0,In-flight meal not included,6007
Jet Airways,2019-03-24,Kolkata,Banglore,06:30:00,22:35:00,965,1.0,No Info,13339
Spicejet,2019-04-09,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No check-in baggage included,3841
Jet Airways,2019-05-15,Kolkata,Banglore,20:00:00,08:15:00,735,1.0,No Info,13941
Jet Airways,2019-04-01,Mumbai,Hyderabad,07:05:00,08:30:00,85,0.0,No Info,8040
Jet Airways,2019-06-09,Kolkata,Banglore,18:55:00,12:00:00,1025,1.0,No Info,14571
Multiple Carriers,2019-06-24,Delhi,Cochin,09:45:00,16:10:00,385,1.0,No Info,9646
Jet Airways,2019-03-24,Kolkata,Banglore,16:55:00,16:20:00,1405,1.0,No Info,14231
Jet Airways,2019-05-21,Banglore,Delhi,11:10:00,14:05:00,175,0.0,No Info,7229
Multiple Carriers,2019-06-12,Delhi,Cochin,19:00:00,01:30:00,390,1.0,No Info,6795
Indigo,2019-03-06,Chennai,Kolkata,05:15:00,07:35:00,140,0.0,No Info,6482
Spicejet,2019-03-21,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No check-in baggage included,3332
Multiple Carriers,2019-03-06,Delhi,Cochin,11:40:00,19:15:00,455,1.0,No Info,15353
Spicejet,2019-05-15,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No check-in baggage included,3841
Indigo,2019-03-03,Delhi,Cochin,05:05:00,10:05:00,300,1.0,No Info,9581
Indigo,2019-05-24,Banglore,Delhi,08:30:00,11:20:00,170,0.0,No Info,4823
Jet Airways,2019-05-18,Delhi,Cochin,19:30:00,04:25:00,535,2.0,In-flight meal not included,13029
Air India,2019-06-06,Delhi,Cochin,13:00:00,19:15:00,375,1.0,No Info,8372
Jet Airways,2019-03-12,Banglore,New Delhi,22:55:00,07:40:00,525,1.0,In-flight meal not included,11087
Indigo,2019-05-21,Chennai,Kolkata,07:55:00,10:15:00,140,0.0,No Info,3850
Vistara,2019-04-01,Kolkata,Banglore,17:00:00,23:25:00,385,1.0,No Info,8610
Indigo,2019-06-01,Chennai,Kolkata,07:55:00,10:15:00,140,0.0,No Info,3850
Air India,2019-03-15,Banglore,New Delhi,10:30:00,21:25:00,655,2.0,No Info,6593
Jet Airways,2019-03-27,Delhi,Cochin,18:15:00,04:25:00,610,1.0,No Info,12242
Jet Airways,2019-03-12,Banglore,New Delhi,22:55:00,18:25:00,1170,1.0,In-flight meal not included,11087
Multiple Carriers,2019-06-01,Delhi,Cochin,14:55:00,22:30:00,455,1.0,No Info,7038
Jet Airways,2019-05-18,Kolkata,Banglore,18:55:00,18:15:00,1400,1.0,In-flight meal not included,10844
Jet Airways,2019-05-01,Kolkata,Banglore,20:25:00,14:25:00,1080,1.0,No Info,11467
Jet Airways,2019-03-21,Delhi,Cochin,13:00:00,04:25:00,925,1.0,In-flight meal not included,7438
Indigo,2019-06-24,Chennai,Kolkata,13:15:00,15:35:00,140,0.0,No Info,3597
Jet Airways,2019-05-21,Delhi,Cochin,19:45:00,19:00:00,1395,1.0,In-flight meal not included,12898
Air India,2019-05-21,Delhi,Cochin,20:00:00,19:15:00,1395,2.0,No Info,10861
Air India,2019-03-27,Delhi,Cochin,05:15:00,06:50:00,1535,1.0,No Info,7165
